split,model,n_train,n_test,r2_baseline,r2_full,delta_r2,mae_baseline,mae_full,delta_mae,rmse_baseline,rmse_full,delta_rmse,rho_baseline,rho_full,delta_rho,ndcg20_baseline,ndcg20_full,delta_ndcg20,p10_baseline,p10_full,delta_p10,alpha_baseline,alpha_full
35,ridge,122,24,0.5212046631950129,0.4599378120074391,-0.0612668511875738,5.090079324658665,5.3638223361472095,0.27374301148854485,6.694549192939482,7.109978164969289,0.4154289720298072,0.677391304347826,0.5939130434782608,-0.08347826086956522,0.9667040231107249,0.9642176086367275,-0.0024864144739974448,0.6,0.6,0.0,6.158482110660261,12.742749857031322
35,ols,122,24,0.5156336600490183,0.4493074421190907,-0.06632621792992766,5.119164724162816,5.3515059605970166,0.23234123643420013,6.733383629301968,7.179612167742827,0.4462285384408595,0.6756521739130433,0.5904347826086956,-0.08521739130434769,0.9666983542010984,0.9641892640885951,-0.0025090901125033316,0.6,0.6,0.0,,
36,ridge,104,42,0.3001338130997203,0.14894801586272688,-0.15118579723699344,11.481148174504547,11.816175661025893,0.33502748652134606,16.030484704636876,17.67735129287693,1.646866588240055,0.7923993193420308,0.6885179483024066,-0.10388137103962414,0.4122395162045436,0.37488301988043193,-0.03735649632411164,0.7,0.6,-0.09999999999999998,6.158482110660261,6.158482110660261
36,ols,104,42,0.320542354845738,0.14999863213483955,-0.17054372271089846,11.42076193217883,11.815645301311271,0.39488336913244027,15.795025924271224,17.66643665512211,1.8714107308508847,0.7938578721335388,0.6698808848553603,-0.12397698727817841,0.41224564195514213,0.3662841649494057,-0.04596147700573644,0.7,0.5,-0.19999999999999996,,
37,ridge,118,28,0.11933780516918102,0.16133784231385895,0.042000037144677926,6.035525370333576,6.01419520035666,-0.021330169976915947,8.677778117445458,8.468322488376035,-0.2094556290694225,0.6902025177887248,0.6852764094143404,-0.0049261083743843415,0.49179132434929035,0.4917905650012327,-7.593480576550959e-07,0.7,0.7,0.0,6.158482110660261,6.158482110660261
37,ols,118,28,0.04612774094050265,0.09240671968886383,0.04627897874836118,6.465673114876006,6.415979313100687,-0.04969380177531946,9.031273075719438,8.809464314849627,-0.22180876086981094,0.6945812807881774,0.6852764094143404,-0.009304871373836954,0.4917913679084966,0.4917905650012327,-8.029072638970902e-07,0.7,0.7,0.0,,
38,ridge,121,25,-0.8192065241334128,-0.7079185985409651,0.11128792559244771,7.756720512258357,7.613167281692895,-0.14355323056546254,10.430265654345218,10.106201460528668,-0.32406419381655027,0.29736488336185357,0.33121754796190944,0.03385266460005587,0.8773014420689484,0.8798467681906577,0.0025453261217092127,0.5,0.5,0.0,6.158482110660261,6.158482110660261
38,ols,121,25,-0.9163051304263685,-0.8117696520945215,0.10453547833184706,7.966796227004892,7.855566166615697,-0.11123006038919492,10.705000664760176,10.408924485266269,-0.2960761794939071,0.29736488336185357,0.3435276078164751,0.04616272445462155,0.8773014420689484,0.8799932664336897,0.0026918243647412465,0.5,0.5,0.0,,
39,ridge,122,24,0.08571804349583034,0.16123489240701683,0.07551684891118648,5.3202679008586795,5.061410867781522,-0.2588570330771578,7.681051719473465,7.357000621274696,-0.324051098198769,0.6979778377655258,0.7136334154350329,0.015655577669507093,0.5967822250000956,0.600141080360339,0.0033588553602433846,0.8,0.7,-0.10000000000000009,6.158482110660261,12.742749857031322
39,ols,122,24,0.03499784519315885,0.07319707665063713,0.03819923145747828,5.456072475135183,5.3182250168465135,-0.13784745828866907,7.891230996055206,7.733468348541118,-0.15776264751408764,0.6979778377655258,0.6979778377655258,0.0,0.5967822250000956,0.5965837889747962,-0.00019843602529934223,0.8,0.7,-0.10000000000000009,,
